Player,Team,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
NP Kenjige,United States of America,4,2,0,1,1,0.5,25,0,0,1
Aaron Jones,United States of America,6,6,2,162,94*,40.5,135,0,1,1
Aasif Sheikh,Nepal,3,3,0,63,42,21,88.73,0,0,0
Abbas Afridi,Pakistan,1,1,0,17,17,17,80.95,0,0,0
F Achelam,Uganda,1,1,0,9,9,9,69.23,0,0,0
MR Adair,Ireland,3,3,0,52,34,17.33,115.55,0,0,0
AC Agar,Australia,2,1,0,2,2,2,40,0,0,0
DS Airee,Nepal,3,3,0,32,25,10.66,66.66,0,0,0
MM Ali,England,8,5,0,71,25,14.2,139.21,0,0,0
Ali Khan,United States of America,6,2,1,14,14*,14,175,0,0,1
FH Allen,New Zealand,4,4,0,35,26,8.75,81.39,0,0,2
CJA Amini,Papua New Guinea,3,3,0,34,17,11.33,64.15,0,0,0
CJ Anderson,United States of America,6,5,1,66,29,16.5,91.66,0,0,0
Aqib Ilyas,Oman,4,4,0,42,18,10.5,120,0,0,1
JC Archer,England,8,2,1,22,21,22,129.41,0,0,0
Arshdeep Singh,India,8,3,2,12,9,12,75,0,0,0
KIC Asalanka,Sri Lanka,3,3,0,71,46,23.66,139.21,0,0,0
PS Athavale,Oman,3,3,0,59,54,19.66,134.09,0,1,1
Ayaan Khan,Oman,4,4,1,93,41*,31,97.89,0,0,0
Azam Khan,Pakistan,1,1,0,0,0,0,0,0,0,1
Azmatullah Omarzai,Afghanistan,8,8,0,111,26,13.87,108.82,0,0,0
Babar Azam,Pakistan,4,4,1,122,44,40.66,101.66,0,0,0
JM Bairstow,England,8,6,2,110,48*,27.5,134.14,0,0,1
DS Bajwa,Canada,2,2,0,18,11,9,128.57,0,0,0
A Balbirnie,Ireland,3,3,0,22,17,7.33,68.75,0,0,1
S Bau,Papua New Guinea,4,4,0,67,50,16.75,83.75,0,1,1
RD Berrington,Scotland,4,3,2,102,47*,102,139.72,0,0,0
K Bhurtel,Nepal,3,3,0,24,13,8,61.53,0,0,0
Bilal Hassun,Uganda,1,1,0,8,8,8,50,0,0,0
Bilal Khan,Oman,4,3,3,2,1*,0,50,0,0,0
A Bohara,Nepal,3,2,0,0,0,0,0,0,0,2
TA Boult,New Zealand,4,2,1,10,7,10,90.9,0,0,0
MG Bracewell,New Zealand,1,1,0,0,0,0,0,0,0,1
JT Brassell,Namibia,2,1,1,2,2*,0,66.66,0,0,0
HC Brook,England,8,4,2,145,53,72.5,157.6,0,1,0
JJ Bumrah,India,8,1,0,0,0,0,0,0,0,1
JC Buttler,England,8,7,2,214,83*,42.8,158.51,0,1,1
C Campher,Ireland,3,3,0,23,12,7.66,79.31,0,0,0
MS Chapman,New Zealand,1,1,0,4,4,4,57.14,0,0,0
J Charles,West Indies,6,6,0,140,44,23.33,113.82,0,0,2
RL Chase,West Indies,6,3,1,94,52,47,130.55,0,1,1
DP Conway,New Zealand,4,4,1,70,35,23.33,107.69,0,0,0
MH Cross,Scotland,4,3,1,36,18,18,150,0,0,0
PJ Cummins,Australia,5,3,1,14,11*,7,82.35,0,0,1
SM Curran,England,5,2,1,12,10*,12,109.09,0,0,0
TH David,Australia,7,5,1,61,24*,15.25,148.78,0,0,0
N Davin,Namibia,4,4,0,64,24,16,96.96,0,0,0
Q de Kock,South Africa,9,9,0,243,74,27,140.46,0,2,1
GJ Delany,Ireland,3,3,0,60,31,20,150,0,0,0
BFW de Leede,Netherlands,4,4,1,20,11*,6.66,60.6,0,0,1
DM de Silva,Sri Lanka,2,2,0,55,34,27.5,105.76,0,0,0
S Dhakal,Nepal,1,1,1,0,0*,0,0,0,0,0
NS Dhaliwal,Canada,3,3,0,71,61,23.66,116.39,0,1,0
GH Dockrell,Ireland,3,3,1,44,30*,22,115.78,0,0,0
K Doriga,Papua New Guinea,4,4,1,71,27*,23.66,92.2,0,0,0
S Dube,India,8,8,2,133,34,22.16,114.65,0,0,1
A Dutt,Netherlands,2,2,1,25,15*,25,125,0,0,0
SA Edwards,Netherlands,4,4,0,71,31,17.75,110.93,0,0,0
SA Engelbrecht,Netherlands,4,4,0,98,40,24.5,106.52,0,0,0
MG Erasmus,Namibia,4,4,1,102,52,34,109.67,0,1,0
Fakhar Zaman,Pakistan,4,4,0,33,13,8.25,110,0,0,0
Fayyaz Butt,Oman,1,1,0,2,2,2,28.57,0,0,0
Fazalhaq Farooqi,Afghanistan,8,3,3,6,4*,0,120,0,0,0
LH Ferguson,New Zealand,4,2,1,2,2,2,40,0,0,0
JN Frylinck,Namibia,4,3,0,58,45,19.33,85.29,0,0,0
AGS Gous,United States of America,6,6,1,219,80*,43.8,151.03,0,2,0
CN Greaves,Scotland,4,2,2,13,9*,0,100,0,0,0
ZE Green,Namibia,4,3,0,29,28,9.66,87.87,0,0,1
Gulbadin Naib,Afghanistan,8,8,1,90,49*,12.85,104.65,0,0,2
Gulsan Jha,Nepal,3,3,0,20,14,6.66,80,0,0,1
Haris Rauf,Pakistan,4,1,1,3,3*,0,100,0,0,0
Harmeet Singh,United States of America,6,4,0,69,38,17.25,138,0,0,1
PW Hasaranga,Sri Lanka,3,3,1,20,20*,10,222.22,0,0,2
JR Hazlewood,Australia,6,1,1,5,5*,0,71.42,0,0,0
Hazratullah Zazai,Afghanistan,1,1,0,2,2,2,50,0,0,0
TM Head,Australia,7,7,1,255,76,42.5,158.38,0,2,1
RR Hendricks,South Africa,9,9,1,113,43,14.12,87.59,0,0,2
MJ Henry,New Zealand,1,1,0,12,12,12,70.58,0,0,0
D Heyliger,Canada,3,3,2,10,9*,10,71.42,0,0,1
H Hiri,Papua New Guinea,4,4,0,25,15,6.25,64.1,0,0,0
SD Hope,West Indies,3,3,1,107,82*,53.5,187.71,0,1,1
AJ Hosein,West Indies,7,2,0,21,15,10.5,75,0,0,0
Ibrahim Zadran,Afghanistan,8,8,0,231,70,28.87,107.44,0,2,1
Iftikhar Ahmed,Pakistan,2,2,0,23,18,11.5,100,0,0,0
Imad Wasim,Pakistan,3,2,0,19,15,9.5,65.51,0,0,0
WG Jacks,England,3,2,0,15,10,7.5,88.23,0,0,0
RA Jadeja,India,8,5,2,35,17*,11.66,159.09,0,0,1
Jaker Ali,Bangladesh,4,4,1,35,14*,11.66,76.08,0,0,0
M Jansen,South Africa,9,6,2,32,21*,8,96.96,0,0,1
Jasdeep Singh,United States of America,4,2,1,4,2*,4,30.76,0,0,0
A Johnson,Canada,3,3,0,89,52,29.66,121.91,0,1,0
MA Jones,Scotland,4,4,1,89,45*,29.66,134.84,0,0,0
S Jora,Nepal,1,1,0,1,1,1,12.5,0,0,0
CJ Jordan,England,5,2,1,2,1*,2,25,0,0,0
AS Joseph,West Indies,7,2,1,17,11*,17,130.76,0,0,0
Kaleemullah,Oman,4,3,1,13,6*,6.5,108.33,0,0,0
Kaleem Sana,Canada,3,1,1,13,13*,0,92.85,0,0,0
SI Kamea,Papua New Guinea,2,2,1,3,2,3,75,0,0,0
Karan KC,Nepal,2,1,0,17,17,17,141.66,0,0,0
J Kariko,Papua New Guinea,3,2,2,4,4*,0,44.44,0,0,0
Karim Janat,Afghanistan,7,5,2,43,14,14.33,113.15,0,0,0
Khalid Kail,Oman,4,4,0,48,34,12,78.68,0,0,0
BA King,West Indies,5,5,1,86,34,21.5,126.47,0,0,0
VJ Kingma,Netherlands,4,1,1,1,1*,0,100,0,0,0
NR Kirton,Canada,3,3,0,101,51,33.66,140.27,0,1,0
H Klaasen,South Africa,9,8,2,190,52,31.66,126.66,0,1,0
V Kohli,India,8,8,0,151,76,18.87,112.68,0,1,2
JP Kotze,Namibia,2,1,0,0,0,0,0,0,0,1
MB Kruger,Namibia,2,2,1,3,2,3,33.33,0,0,0
NR Kumar,United States of America,6,5,1,99,30,24.75,115.11,0,0,0
