Player,Team,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct
NP Kenjige,United States of America,4,4,60,0,89,3,30-Mar,29.66,8.9,20,0,0,0
Abbas Afridi,Pakistan,1,1,18,0,31,0,-,0,10.33,-,0,0,0
MR Adair,Ireland,3,3,72,0,74,3,23-Jan,24.66,6.16,24,0,0,1
AC Agar,Australia,2,2,48,1,56,1,Jan-39,56,7,48,0,0,1
DS Airee,Nepal,3,3,57,0,49,6,21-Mar,8.16,5.15,9.5,0,0,3
MM Ali,England,8,4,54,0,73,3,15-Jan,24.33,8.11,18,0,0,2
Ali Khan,United States of America,6,6,116,0,181,3,21-Jan,60.33,9.36,38.6,0,0,1
CJA Amini,Papua New Guinea,3,3,20,0,21,0,-,0,6.3,-,0,0,0
CJ Anderson,United States of America,6,4,48,0,69,1,29-Jan,69,8.62,48,0,0,2
Aqib Ilyas,Oman,4,3,66,1,76,2,17-Jan,38,6.9,33,0,0,1
JC Archer,England,8,8,158,1,190,10,12-Mar,19,7.21,15.8,0,0,0
Arshdeep Singh,India,8,8,180,0,215,17,9-Apr,12.64,7.16,10.5,0,0,3
Ayaan Khan,Oman,4,2,18,0,32,1,12-Jan,32,10.66,18,0,0,1
Azmatullah Omarzai,Afghanistan,8,6,67,1,104,2,10-Jan,52,9.31,33.5,0,0,1
OEG Baartman,South Africa,5,5,114,1,94,6,11-Apr,15.66,4.94,19,0,0,1
S Bau,Papua New Guinea,4,1,6,0,18,0,-,0,18,-,0,0,0
K Bhurtel,Nepal,3,2,48,0,41,4,19-Apr,10.25,5.12,12,0,0,0
Bilal Hassun,Uganda,1,1,12,0,34,0,-,0,17,-,0,0,0
Bilal Khan,Oman,4,4,73,0,109,4,12-Jan,27.25,8.95,18.2,0,0,0
A Bohara,Nepal,3,3,46,0,58,1,29-Jan,58,7.56,46,0,0,0
TA Boult,New Zealand,4,4,96,2,59,9,16-Mar,6.55,3.68,10.6,0,0,0
MG Bracewell,New Zealand,1,1,18,0,27,0,-,0,9,-,0,0,0
JT Brassell,Namibia,2,2,16,0,46,0,-,0,17.25,-,0,0,0
JJ Bumrah,India,8,8,178,2,124,15,7-Mar,8.26,4.17,11.8,0,0,2
C Campher,Ireland,3,3,42,0,39,2,24-Feb,19.5,5.57,21,0,0,1
RL Chase,West Indies,6,5,90,0,80,7,12-Mar,11.42,5.33,12.8,0,0,4
PJ Cummins,Australia,5,5,114,1,144,9,28-Mar,16,7.57,12.6,0,0,1
SM Curran,England,5,5,72,0,115,3,23-Feb,38.33,9.58,24,0,0,2
BJ Currie,Scotland,2,1,24,0,16,2,16-Feb,8,4,12,0,0,1
GJ Delany,Ireland,3,2,23,0,29,1,10-Jan,29,7.56,23,0,0,1
BFW de Leede,Netherlands,4,4,83,1,119,3,22-Feb,39.66,8.6,27.6,0,0,3
DM de Silva,Sri Lanka,2,1,12,0,11,1,11-Jan,11,5.5,12,0,0,0
S Dhakal,Nepal,1,1,24,0,21,0,-,0,5.25,-,0,0,0
S Dube,India,8,1,6,0,11,0,-,0,11,-,0,0,1
A Dutt,Netherlands,2,2,42,0,40,3,17-Feb,13.33,5.71,14,0,0,0
N Dutta,Canada,1,1,16,0,41,1,Jan-41,41,15.37,16,0,0,0
NT Ellis,Australia,3,3,66,1,74,4,28-Feb,18.5,6.72,16.5,0,0,1
MG Erasmus,Namibia,4,4,66,0,81,4,20-Feb,20.25,7.36,16.5,0,0,1
Fayyaz Butt,Oman,1,1,1,0,4,0,-,0,24,-,0,0,0
Fazalhaq Farooqi,Afghanistan,8,8,152,0,160,17,9-May,9.41,6.31,8.9,1,0,1
LH Ferguson,New Zealand,4,4,96,4,64,7,Mar-00,9.14,4,13.7,0,0,2
JOA Gordon,Canada,3,3,63,0,77,3,16-Feb,25.66,7.33,21,0,0,1
CN Greaves,Scotland,4,3,30,0,30,2,2-Jan,15,6,15,0,0,0
Gulbadin Naib,Afghanistan,8,4,54,0,47,7,20-Apr,6.71,5.22,7.7,0,0,5
Gulsan Jha,Nepal,3,1,12,0,17,0,-,0,8.5,-,0,0,0
Haris Rauf,Pakistan,4,4,90,0,101,7,21-Mar,14.42,6.73,12.8,0,0,1
Harmeet Singh,United States of America,6,5,96,0,139,4,24-Feb,34.75,8.68,24,0,0,2
PW Hasaranga,Sri Lanka,3,3,68,0,79,6,22-Feb,13.16,6.97,11.3,0,0,2
JR Hazlewood,Australia,6,6,144,1,145,4,18-Feb,36.25,6.04,36,0,0,4
MJ Henry,New Zealand,1,1,24,0,37,2,Feb-37,18.5,9.25,12,0,0,0
D Heyliger,Canada,3,3,66,0,55,5,18-Feb,11,5,13.2,0,0,0
AJ Hosein,West Indies,7,7,150,1,141,9,11-May,15.66,5.64,16.6,1,0,0
Iftikhar Ahmed,Pakistan,2,2,12,0,17,0,-,0,8.5,-,0,0,1
Imad Wasim,Pakistan,3,3,66,0,44,3,8-Mar,14.66,4,22,0,0,2
WG Jacks,England,3,1,6,0,22,0,-,0,22,-,0,0,1
RA Jadeja,India,8,7,84,0,106,1,20-Jan,106,7.57,84,0,0,3
M Jansen,South Africa,9,9,187,0,213,7,16-Mar,30.42,6.83,26.7,0,0,4
Jasdeep Singh,United States of America,4,4,72,0,121,1,Jan-37,121,10.08,72,0,0,1
CJ Jordan,England,5,5,83,0,134,10,10-Apr,13.4,9.68,8.3,0,0,2
AS Joseph,West Indies,7,7,147,0,177,13,19-Apr,13.61,7.22,11.3,0,0,3
Junaid Siddiqui,Canada,2,2,42,0,55,1,27-Jan,55,7.85,42,0,0,1
Kaleemullah,Oman,4,4,48,0,67,2,10-Jan,33.5,8.37,24,0,0,0
Kaleem Sana,Canada,3,3,66,0,93,1,Jan-34,93,8.45,66,0,0,0
SI Kamea,Papua New Guinea,2,2,36,0,39,2,16-Jan,19.5,6.5,18,0,0,1
Karan KC,Nepal,2,2,24,0,26,0,-,0,6.5,-,0,0,1
J Kariko,Papua New Guinea,3,3,66,0,50,1,17-Jan,50,4.54,66,0,0,1
Karim Janat,Afghanistan,7,1,12,0,10,0,-,0,5,-,0,0,2
VJ Kingma,Netherlands,4,4,78,1,78,3,12-Feb,26,6,26,0,0,2
Kuldeep Yadav,India,5,5,120,0,139,10,19-Mar,13.9,6.95,12,0,0,2
Kushal Malla,Nepal,3,1,12,0,17,0,-,0,8.5,-,0,0,0
C Kyewuta,Uganda,4,4,79,0,97,5,17-Feb,19.4,7.36,15.8,0,0,0
